作者,作者首页,文章标题,文章地址,发布时间,赞同数,评论数
路人甲,https://www.zhihu.com/people/sgai,豆瓣5.6分的《西游伏妖篇》评论有水军吗？,https://zhuanlan.zhihu.com/p/25047215,2017-01-30T23:27:47+08:00,4530,697
路人甲,https://www.zhihu.com/people/sgai,微信消息防撤回工具,https://zhuanlan.zhihu.com/p/25706692,2017-03-11T20:19:29+08:00,8301,653
路人甲,https://www.zhihu.com/people/sgai,如何学习Python爬虫[入门篇]？,https://zhuanlan.zhihu.com/p/21479334,2016-07-04T08:00:07+08:00,7349,555
路人甲,https://www.zhihu.com/people/sgai,程序员常用的技术网站,https://zhuanlan.zhihu.com/p/21638054,2016-07-19T07:59:51+08:00,6237,378
路人甲,https://www.zhihu.com/people/sgai,C、C++语言学习资料,https://zhuanlan.zhihu.com/p/21472075,2016-07-02T08:00:47+08:00,2671,349
路人甲,https://www.zhihu.com/people/sgai,你所不知道的周黑鸭和绝味鸭脖。,https://zhuanlan.zhihu.com/p/23151994,2016-10-24T08:00:06+08:00,624,320
路人甲,https://www.zhihu.com/people/sgai,国庆节，我们用代码来画个国旗～,https://zhuanlan.zhihu.com/p/22754747,2016-10-04T09:27:57+08:00,2116,265
路人甲,https://www.zhihu.com/people/sgai,程序员把妹指南之电脑配置篇,https://zhuanlan.zhihu.com/p/21771612,2016-07-29T08:04:35+08:00,3424,260
Brian Way,https://www.zhihu.com/people/brianway,爬取知乎60万用户信息之后的简单分析,https://zhuanlan.zhihu.com/p/24411711,2016-12-20T22:17:22+08:00,2258,248
路人甲,https://www.zhihu.com/people/sgai,有哪些适合新手练手的Python项目？,https://zhuanlan.zhihu.com/p/22164270,2016-08-25T08:00:05+08:00,2740,231
路人甲,https://www.zhihu.com/people/sgai,程序员把妹指南之修电脑篇,https://zhuanlan.zhihu.com/p/21355072,2016-06-15T07:46:41+08:00,2668,228
路人甲,https://www.zhihu.com/people/sgai,Linux初学者(学习资料),https://zhuanlan.zhihu.com/p/21723250,2016-07-26T08:05:11+08:00,2753,211
路人甲,https://www.zhihu.com/people/sgai,知乎看片，指日可待,https://zhuanlan.zhihu.com/p/25587574,2017-03-07T07:58:20+08:00,2507,209
路人甲,https://www.zhihu.com/people/sgai,有哪些适合新手练手的Java项目？,https://zhuanlan.zhihu.com/p/22062736,2016-08-18T08:00:38+08:00,2841,208
路人甲,https://www.zhihu.com/people/sgai,爬取了bilibili站644w视频信息之后的故事。,https://zhuanlan.zhihu.com/p/22541207,2016-09-22T08:01:31+08:00,1932,205
路人甲,https://www.zhihu.com/people/sgai,世界上最伟大的巫师「咪蒙」,https://zhuanlan.zhihu.com/p/25927165,2017-03-23T07:30:55+08:00,1007,178
路人甲,https://www.zhihu.com/people/sgai,Python对微信好友进行简单统计分析,https://zhuanlan.zhihu.com/p/21967333,2016-08-12T07:59:46+08:00,1602,177
路人甲,https://www.zhihu.com/people/sgai,如何一步一步的学Java,https://zhuanlan.zhihu.com/p/21454718,2016-06-30T08:00:01+08:00,3422,174
路人甲,https://www.zhihu.com/people/sgai,哪些比较好的在线编程网站？,https://zhuanlan.zhihu.com/p/21808087,2016-08-01T08:03:38+08:00,3646,163
路人甲,https://www.zhihu.com/people/sgai,Java工程师笔试题整理[校招篇],https://zhuanlan.zhihu.com/p/21513402,2016-07-07T08:09:11+08:00,2975,159
路人甲,https://www.zhihu.com/people/sgai,Python面试题长啥样？[面试题整理],https://zhuanlan.zhihu.com/p/21856569,2016-08-04T08:00:19+08:00,2077,139
路人甲,https://www.zhihu.com/people/sgai,Python面试题长啥样？[面试题整理],https://zhuanlan.zhihu.com/p/21856569,2016-08-04T08:00:19+08:00,2078,139
Glowin,https://www.zhihu.com/people/glow,Google Interview University - 坚持完成这套学习手册，你就可以去 Google 面试了,https://zhuanlan.zhihu.com/p/22881223,2016-10-11T16:46:28+08:00,3339,138
路人甲,https://www.zhihu.com/people/sgai,有哪些适合新手练手的前端项目？,https://zhuanlan.zhihu.com/p/22766255,2016-10-07T09:25:58+08:00,1963,133
路人甲,https://www.zhihu.com/people/sgai,Java/Python/PHP/C#/C++各大城市招聘状况分析,https://zhuanlan.zhihu.com/p/23661167,2016-11-16T08:00:24+08:00,1087,126
路人甲,https://www.zhihu.com/people/sgai,送给前端的你，推荐几篇前端汇总文章。,https://zhuanlan.zhihu.com/p/22229868,2016-08-30T08:01:52+08:00,1354,115
路人甲,https://www.zhihu.com/people/sgai,编程教程资源整理汇总（16-07-18更新）,https://zhuanlan.zhihu.com/p/21250766,2016-05-26T21:03:00+08:00,1987,113
路人甲,https://www.zhihu.com/people/sgai,Java工程师面试题整理[社招篇],https://zhuanlan.zhihu.com/p/21551758,2016-07-11T08:01:32+08:00,1246,107
路人甲,https://www.zhihu.com/people/sgai,有哪些值得关注的技术博客（Java篇）,https://zhuanlan.zhihu.com/p/22315098,2016-09-06T08:00:02+08:00,1901,104
路人甲,https://www.zhihu.com/people/sgai,哪些知乎收藏夹关注数超过一万？,https://zhuanlan.zhihu.com/p/22687249,2016-09-29T08:00:35+08:00,2987,100
路人甲,https://www.zhihu.com/people/sgai,Python常用库整理,https://zhuanlan.zhihu.com/p/21563130,2016-07-12T08:06:32+08:00,2447,98
路人甲,https://www.zhihu.com/people/sgai,学习编程道路上的入门书籍之Java篇,https://zhuanlan.zhihu.com/p/22846352,2016-10-10T08:03:54+08:00,998,98
路人甲,https://www.zhihu.com/people/sgai,报告，我要学php！[学习资料整理],https://zhuanlan.zhihu.com/p/21910473,2016-08-08T07:58:22+08:00,976,92
路人甲,https://www.zhihu.com/people/sgai,有哪些值得关注的技术博客（前端篇）,https://zhuanlan.zhihu.com/p/22276837,2016-09-02T08:00:41+08:00,1649,92
路人甲,https://www.zhihu.com/people/sgai,不交智商税，如何判断一场知乎live的质量？,https://zhuanlan.zhihu.com/p/25118397,2017-02-08T21:51:24+08:00,731,92
路人甲,https://www.zhihu.com/people/sgai,有哪些适合新手练手的C/C++项目？,https://zhuanlan.zhihu.com/p/23047091,2016-10-19T08:00:23+08:00,1553,88
路人甲,https://www.zhihu.com/people/sgai,我们的专栏有公众号了。,https://zhuanlan.zhihu.com/p/22807507,2016-10-08T07:59:06+08:00,802,87
路人甲,https://www.zhihu.com/people/sgai,Google Developers中国网站到底给开发者带来了什么？,https://zhuanlan.zhihu.com/p/24289207,2016-12-11T09:01:01+08:00,1265,87
路人甲,https://www.zhihu.com/people/sgai,有哪些值得关注的技术博客（Python篇）,https://zhuanlan.zhihu.com/p/22370545,2016-09-09T08:05:31+08:00,1761,79
Wayne Shi,https://www.zhihu.com/people/sw2016,Python学习路径及练手项目合集,https://zhuanlan.zhihu.com/p/23561159,2016-11-10T16:26:32+08:00,2246,79
路人甲,https://www.zhihu.com/people/sgai,如何拿链家网的租房数据做些有意思的事情？,https://zhuanlan.zhihu.com/p/24554589,2016-12-28T07:59:47+08:00,722,79
路人甲,https://www.zhihu.com/people/sgai,学习编程道路上的入门书籍之C篇,https://zhuanlan.zhihu.com/p/22912795,2016-10-13T08:01:15+08:00,789,78
路人甲,https://www.zhihu.com/people/sgai,程序员常用的刷题网站,https://zhuanlan.zhihu.com/p/24212206,2016-12-07T07:43:05+08:00,2897,78
路人甲,https://www.zhihu.com/people/sgai,腾讯、百度、网易、京东、华为...春招/实习绿卡免费领取,https://zhuanlan.zhihu.com/p/25506724,2017-03-02T08:00:32+08:00,1644,78
路人甲,https://www.zhihu.com/people/sgai,我买了一辆奥迪，然后……,https://zhuanlan.zhihu.com/p/28796662,2017-08-25T22:04:52+08:00,182,76
路人甲,https://www.zhihu.com/people/sgai,更舒服的写代码[字体篇],https://zhuanlan.zhihu.com/p/21494613,2016-07-06T08:11:45+08:00,1084,74
路人甲,https://www.zhihu.com/people/sgai,我想用代码做一张这样的图片。,https://zhuanlan.zhihu.com/p/24533452,2016-12-26T08:11:04+08:00,1894,72
路人甲,https://www.zhihu.com/people/sgai,有哪些适合新手练手的Java Web项目？,https://zhuanlan.zhihu.com/p/22112669,2016-08-22T08:00:41+08:00,1270,71
路人甲,https://www.zhihu.com/people/sgai,爬取6.6w+豆瓣电影之后的分析故事,https://zhuanlan.zhihu.com/p/24133117,2016-12-04T10:51:33+08:00,1264,71
路人甲,https://www.zhihu.com/people/sgai,如何成为前端工程师？,https://zhuanlan.zhihu.com/p/21486631,2016-07-05T08:04:38+08:00,676,70
stormzhang,https://www.zhihu.com/people/stormzhang,从 0 开始学习 GitHub 电子书免费送,https://zhuanlan.zhihu.com/p/24956915,2017-01-19T17:14:54+08:00,1023,70
路人甲,https://www.zhihu.com/people/sgai,有哪些可以获取数据的网站？[大数据],https://zhuanlan.zhihu.com/p/22008723,2016-08-15T08:06:17+08:00,1501,69
路人甲,https://www.zhihu.com/people/sgai,2016年度GitHub上Stars最多的10个项目,https://zhuanlan.zhihu.com/p/24627923,2016-12-30T07:54:24+08:00,1549,65
路人甲,https://www.zhihu.com/people/sgai,我分析了2TB的代码来统计每一门语言中最常用的单词。,https://zhuanlan.zhihu.com/p/24949254,2017-01-20T07:55:38+08:00,373,65
路人甲,https://www.zhihu.com/people/sgai,学习编程道路上的入门书籍之Python篇,https://zhuanlan.zhihu.com/p/22983834,2016-10-28T08:02:47+08:00,835,63
路人甲,https://www.zhihu.com/people/sgai,有哪些值得关注的技术博客（Linux篇）,https://zhuanlan.zhihu.com/p/22407435,2016-09-12T08:01:44+08:00,1365,61
Crossin,https://www.zhihu.com/people/crossin,如何用100行Python代码做出魔性声控游戏“八分音符酱”,https://zhuanlan.zhihu.com/p/25499306,2017-03-01T14:50:31+08:00,1107,61
路人甲,https://www.zhihu.com/people/sgai,2016校招编程题汇总,https://zhuanlan.zhihu.com/p/21527734,2016-07-08T08:14:36+08:00,1389,60
路人甲,https://www.zhihu.com/people/sgai,MySQL学习资料,https://zhuanlan.zhihu.com/p/21677363,2016-07-22T07:59:42+08:00,1311,56
路人甲,https://www.zhihu.com/people/sgai,常见面试题整理--计算机网络篇（每位开发者必备）,https://zhuanlan.zhihu.com/p/24001696,2016-11-30T08:00:07+08:00,1408,56
路人甲,https://www.zhihu.com/people/sgai,约会聚餐如何正确选择餐馆？,https://zhuanlan.zhihu.com/p/28224566,2017-07-31T22:03:45+08:00,807,56
Crossin,https://www.zhihu.com/people/crossin,给伸手党的福利：Python 新手入门引导,https://zhuanlan.zhihu.com/p/25824007,2017-03-17T10:18:16+08:00,2216,55
路人甲,https://www.zhihu.com/people/sgai,深挖：知乎起诉的微博营销号「大神说」,https://zhuanlan.zhihu.com/p/25377264,2017-02-22T20:39:45+08:00,560,53
路人甲,https://www.zhihu.com/people/sgai,学好Python的11个优秀资源,https://zhuanlan.zhihu.com/p/21464202,2016-07-01T08:03:11+08:00,1361,51
Ray Cao,https://www.zhihu.com/people/xi-lan-hua-66,圣诞丨太阁所有的免费算法视频资料整理,https://zhuanlan.zhihu.com/p/24417239,2016-12-17T12:06:42+08:00,1213,51
路人甲,https://www.zhihu.com/people/sgai,免费实用的API接口,https://zhuanlan.zhihu.com/p/21320392,2016-06-08T08:00:20+08:00,1134,47
路人甲,https://www.zhihu.com/people/sgai,10个常用的代码文本编辑器/IDE,https://zhuanlan.zhihu.com/p/21434126,2016-06-27T18:08:29+08:00,418,46
路人甲,https://www.zhihu.com/people/sgai,学习编程道路上的入门书籍之JavaScript篇,https://zhuanlan.zhihu.com/p/22982050,2016-10-17T08:01:08+08:00,472,46
路人甲,https://www.zhihu.com/people/sgai,常见面试题整理--操作系统篇（每位开发者必备）,https://zhuanlan.zhihu.com/p/23755202,2016-11-21T08:00:08+08:00,982,46
路人甲,https://www.zhihu.com/people/sgai,web前端开发各大城市招聘状况分析,https://zhuanlan.zhihu.com/p/23926097,2016-11-28T08:01:16+08:00,296,46
路人甲,https://www.zhihu.com/people/sgai,豆瓣读书分析报告――读书爱好者,https://zhuanlan.zhihu.com/p/24420062,2016-12-18T10:56:46+08:00,593,45
路人甲,https://www.zhihu.com/people/sgai,用弹幕看一场NBA（公牛 - 老鹰）,https://zhuanlan.zhihu.com/p/24980496,2017-01-22T19:56:48+08:00,276,45
林安,https://www.zhihu.com/people/lin-an-71,为何优秀的Java程序员如此难招？,https://zhuanlan.zhihu.com/p/21502019,2016-07-06T18:55:48+08:00,180,44
路人甲,https://www.zhihu.com/people/sgai,Front End Developer Questions（前端开发面试题）,https://zhuanlan.zhihu.com/p/21545655,2016-07-10T08:46:44+08:00,787,44
路人甲,https://www.zhihu.com/people/sgai,你需要这些：Python3.x爬虫学习资料整理,https://zhuanlan.zhihu.com/p/24358829,2016-12-15T06:59:05+08:00,1232,43
路人甲,https://www.zhihu.com/people/sgai,如何选择一门编程语言？,https://zhuanlan.zhihu.com/p/25092335,2017-02-05T14:10:11+08:00,393,43
路人甲,https://www.zhihu.com/people/sgai,有哪些值得关注的技术博客（PHP篇）,https://zhuanlan.zhihu.com/p/22423268,2016-09-13T08:00:13+08:00,517,42
路人甲,https://www.zhihu.com/people/sgai,Python3.x基础学习资料整理,https://zhuanlan.zhihu.com/p/24249743,2016-12-09T07:50:22+08:00,1083,42
路人甲,https://www.zhihu.com/people/sgai,代码编辑器的插件推荐,https://zhuanlan.zhihu.com/p/21444928,2016-06-29T08:13:35+08:00,572,41
路人甲,https://www.zhihu.com/people/sgai,如何查找专栏（知乎专栏汇总）,https://zhuanlan.zhihu.com/p/21429080,2016-06-27T08:05:52+08:00,398,38
路人甲,https://www.zhihu.com/people/sgai,Python 的图形界面（GUI）编程？,https://zhuanlan.zhihu.com/p/22619896,2016-09-26T08:00:05+08:00,666,38
路人甲,https://www.zhihu.com/people/sgai,知乎2016年度赞同/收藏最多的回答 ―― 编程话题,https://zhuanlan.zhihu.com/p/25437482,2017-02-27T07:59:36+08:00,1376,37
路人甲,https://www.zhihu.com/people/sgai,今天最期待的谎言，就是你们不曾离去,https://zhuanlan.zhihu.com/p/26131333,2017-04-01T16:38:55+08:00,412,37
路人甲,https://www.zhihu.com/people/sgai,Python魔法方法指南,https://zhuanlan.zhihu.com/p/26488074,2017-04-21T08:02:32+08:00,703,37
路人甲,https://www.zhihu.com/people/sgai,共享单车的混战,https://zhuanlan.zhihu.com/p/26217778,2017-04-07T22:08:40+08:00,151,36
路人甲,https://www.zhihu.com/people/sgai,零基础如何开发游戏,https://zhuanlan.zhihu.com/p/21285725,2016-06-02T07:45:58+08:00,1082,35
简浅,https://www.zhihu.com/people/jianzu1126,帝国的更迭 ：Go语言能否成为新的霸主？,https://zhuanlan.zhihu.com/p/22265969,2016-09-01T12:00:19+08:00,116,33
路人甲,https://www.zhihu.com/people/sgai,GitHub上Stars最多的10个Python项目,https://zhuanlan.zhihu.com/p/24701448,2017-01-04T07:50:34+08:00,927,33
路人甲,https://www.zhihu.com/people/sgai,大数据可视化工具推荐,https://zhuanlan.zhihu.com/p/21586964,2016-07-14T07:54:29+08:00,811,32
龚元浩,https://www.zhihu.com/people/gongyuanhao,基于曲率的图像处理,https://zhuanlan.zhihu.com/p/22971865,2016-10-15T20:02:37+08:00,244,32
路人甲,https://www.zhihu.com/people/sgai,常见面试题整理--数据库篇（每位开发者必备）,https://zhuanlan.zhihu.com/p/23713529,2016-11-18T08:02:27+08:00,884,31
路人甲,https://www.zhihu.com/people/sgai,Python 3.6.0 正式版发布附新特性说明,https://zhuanlan.zhihu.com/p/24538139,2016-12-24T08:56:02+08:00,306,31
路人甲,https://www.zhihu.com/people/sgai,翻译|Stack Overflow上关于Python的高票问答（一）,https://zhuanlan.zhihu.com/p/23276711,2016-10-31T08:00:13+08:00,491,30
路人甲,https://www.zhihu.com/people/sgai,学习编程道路上的入门书籍之C#篇,https://zhuanlan.zhihu.com/p/22987816,2016-11-07T08:00:12+08:00,259,30
路人甲,https://www.zhihu.com/people/sgai,常见面试题整理--Python概念篇,https://zhuanlan.zhihu.com/p/23526961,2016-11-11T08:00:43+08:00,1118,29
stormzhang,https://www.zhihu.com/people/stormzhang,从 0 开始学习 GitHub 系列之【向 GitHub 提交代码】,https://zhuanlan.zhihu.com/p/27883725,2017-07-14T12:15:39+08:00,166,29
路人甲,https://www.zhihu.com/people/sgai,数据资源整理,https://zhuanlan.zhihu.com/p/28734289,2017-08-23T20:13:18+08:00,300,28
路人甲,https://www.zhihu.com/people/sgai,编程话题实用问答整理,https://zhuanlan.zhihu.com/p/21402861,2016-06-24T08:01:19+08:00,654,27
路人甲,https://www.zhihu.com/people/sgai,常见面试题整理--Python代码篇,https://zhuanlan.zhihu.com/p/23582996,2016-11-14T08:04:05+08:00,618,27
路人甲,https://www.zhihu.com/people/sgai,现在，组装自己的Master,https://zhuanlan.zhihu.com/p/24783342,2017-01-09T08:28:33+08:00,443,27
路人甲,https://www.zhihu.com/people/sgai,代码编辑器的配色方案,https://zhuanlan.zhihu.com/p/21436037,2016-06-28T08:22:03+08:00,546,26
stormzhang,https://www.zhihu.com/people/stormzhang,从0开始学习 GitHub 系列之【加入 GitHub】,https://zhuanlan.zhihu.com/p/27791997,2017-07-10T11:01:06+08:00,586,26
stormzhang,https://www.zhihu.com/people/stormzhang,从0开始学习 GitHub 系列之【初识 GitHub】,https://zhuanlan.zhihu.com/p/27753800,2017-07-07T15:26:10+08:00,750,25
路人甲,https://www.zhihu.com/people/sgai,抓取1400篇Python文章后的故事（内附高质量Python文章推荐）,https://zhuanlan.zhihu.com/p/24892149,2017-01-16T07:59:56+08:00,599,23
路人甲,https://www.zhihu.com/people/sgai,三分钟学会Scrapy选择器(selectors),https://zhuanlan.zhihu.com/p/25411797,2017-02-24T20:00:49+08:00,203,22
路人甲,https://www.zhihu.com/people/sgai,「Growth Hacker」 - 增长黑客,https://zhuanlan.zhihu.com/p/26102487,2017-03-31T07:59:36+08:00,456,22
路人甲,https://www.zhihu.com/people/sgai,如何向别人请教问题才能得到解答回复？,https://zhuanlan.zhihu.com/p/25328045,2017-02-20T20:21:51+08:00,177,19
stormzhang,https://www.zhihu.com/people/stormzhang,从0开始学习 GitHub 系列之【Git 速成】,https://zhuanlan.zhihu.com/p/27831772,2017-07-12T09:20:00+08:00,292,18
stormzhang,https://www.zhihu.com/people/stormzhang,从 0 开始学习 GitHub 系列之【Git 进阶】,https://zhuanlan.zhihu.com/p/27949409,2017-07-18T11:52:44+08:00,279,17
路人甲,https://www.zhihu.com/people/sgai,翻译|Stackoverflow上关于Python的高票问答（二）,https://zhuanlan.zhihu.com/p/23480275,2016-11-09T08:01:07+08:00,279,14
stormzhang,https://www.zhihu.com/people/stormzhang,WebSocket 教程,https://zhuanlan.zhihu.com/p/27604269,2017-06-29T14:14:47+08:00,300,14
stormzhang,https://www.zhihu.com/people/stormzhang,从 0 开始学习 GitHub 系列之【团队合作利器 Branch】,https://zhuanlan.zhihu.com/p/28019975,2017-07-21T11:26:12+08:00,166,14
路人甲,https://www.zhihu.com/people/sgai,推荐一些优秀的开源Java爬虫项目,https://zhuanlan.zhihu.com/p/24844250,2017-01-13T07:42:38+08:00,261,12
路人甲,https://www.zhihu.com/people/sgai,有哪些学习数据分析的网站,https://zhuanlan.zhihu.com/p/24944039,2017-01-19T07:59:09+08:00,741,12
路人甲,https://www.zhihu.com/people/sgai,这里有一个无人驾驶深度学习挑战赛等你来。,https://zhuanlan.zhihu.com/p/23594174,2016-11-12T08:00:39+08:00,83,9
路人甲,https://www.zhihu.com/people/sgai,翻译|Stackoverflow上关于Python的高票问答（三）,https://zhuanlan.zhihu.com/p/23298878,2016-11-25T08:00:51+08:00,213,9
迪公主,https://www.zhihu.com/people/dorothy-33-6,全国高校技术大赛报名倒计时！（附校招真题&面经汇总）,https://zhuanlan.zhihu.com/p/26777056,2017-05-08T14:46:28+08:00,168,9
路人甲,https://www.zhihu.com/people/sgai,一款优秀的产品（App）需要杜绝哪些问题？,https://zhuanlan.zhihu.com/p/25294510,2017-02-19T10:42:15+08:00,124,8
路人甲,https://www.zhihu.com/people/sgai,响应式编程（Reactive Programming）介绍,https://zhuanlan.zhihu.com/p/27678951,2017-07-05T07:00:07+08:00,260,6
stormzhang,https://www.zhihu.com/people/stormzhang,推荐一些相见恨晚的 Python 库 「一」,https://zhuanlan.zhihu.com/p/28538338,2017-08-15T18:33:36+08:00,292,6
stormzhang,https://www.zhihu.com/people/stormzhang,从 0 开始学习 GitHub 系列之【GitHub 常见的几种操作】,https://zhuanlan.zhihu.com/p/28090867,2017-07-25T11:20:47+08:00,218,5
stormzhang,https://www.zhihu.com/people/stormzhang,从 0 开始学习 GitHub 系列之【如何发现优秀的开源项目？】,https://zhuanlan.zhihu.com/p/28281433,2017-08-03T11:16:46+08:00,391,4
路人甲,https://www.zhihu.com/people/sgai,初探密码破译：Metropolis-Hastings算法破解密文,https://zhuanlan.zhihu.com/p/25361141,2017-02-22T09:00:16+08:00,83,2
